"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"89",89,38809.07695,40878,109143,0.795214473,2.123198132,153390.212,0.00000001,0.00000001,370.778306,95717.05131,0.00000001,0.00000001,0.00000001,3469.360111,153390.212,3469.360111,0.000224879,9.243844,249478.0416,153390.21199999,1.327983659,3
"90",90,37718.57459,35019,86274,0.523954156,1.290831289,145021.4376,0.00000001,0.00000001,0.00000001,29936.16238,0.00000001,0.00000001,0.00000001,2475.602783,145021.4376,2475.602783,0.00019759,9.76891,174957.5999,145021.43759999,0.766877133,3
"91",91,39573.39076,22140,48807,0.555374389,1.224307036,125925.3382,0.00000001,0.00000001,0.00000001,11035.06269,0.00000001,0.00000001,0.00000001,2022.871618,125925.3382,2022.871618,0.0000668,8.33332775,136960.4009,125925.33819999,0.668932647,3
"92",92,30206.09,22896,42372,0.862567812,1.596292948,102010.9453,0.00000001,0.00000001,0.00000001,4184.024287,0.00000001,0.00000001,0.00000001,2031.102116,102010.9453,2031.102116,0.0000489,9.796963667,106194.9696,102010.94529999,0.733725136,2
"93",93,30768.43919,32319,69363,0.430506714,0.923953005,105114.1263,0.00000001,23750.36718,5391.695398,81558.43466,0.00000001,0.00000001,1174.121715,3018.789809,128864.4935,1831.074946,0.000311703,9.2515625,216988.7453,128864.49349999,0.493446291,2
"94",94,19066.53964,31851,80154,0.489277704,1.231282067,111250.9523,0.00000001,1690.702374,6138.698603,37190.00061,0.00000001,0.00000001,0.00000001,2237.858591,112941.6546,2088.788801,0.000466996,6.15801625,156270.3539,112941.65459999,0.742004363,1
"95",95,27964.66028,26424,73251,0.425507246,1.179565217,122401.6618,0.00000001,0.00000001,0.00000001,36720.51915,0.00000001,0.00000001,0.00000001,1991.764518,122401.6618,1991.764518,0.000167232,6.8078786,159122.181,122401.66179999,0.754057971,1
"96",96,24259.54077,49167,92916,0.766282749,1.448124308,131610.8582,0.00000001,0.00000001,2668.20228,53238.60948,0.00000001,0.00000001,0.00000001,2027.136026,131610.8582,2027.136026,0.00044484,6.744116,187517.67,131610.85819999,0.681841559,1
"97",97,32248.80452,17496,66690,0.249244971,0.950054134,141486.237,0.00000001,0.00000001,0.00000001,21164.27533,0.00000001,0.00000001,0.00000001,2226.793338,142094.5522,2076.953145,0.000137518,8.249262667,163258.8275,142094.55219999,0.700809163,2
"98",98,31955.31241,20079,88875,0.380630118,1.684770246,138430.7898,0.00000001,0.00000001,0.00000001,8611.931245,0.00000001,0.00000001,311.855336,2037.491252,138970.1914,1986.012753,0.000126043,7.506343,147893.978,138970.19139999,1.304140128,2
"99",99,13075.46147,66969,116361,1.932727273,3.358181818,133148.4738,0.00000001,4939.013666,9719.440942,12708.20671,0.00000001,0.00000001,0.00000001,2885.900565,145486.289,2246.619003,0.000374086,13.99288675,167913.9367,145486.28899999,1.425454545,1
"100",100,36563.93879,40122,105588,1.334730539,3.51257485,122419.7471,0.00000001,2848.099807,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2526.608642,125267.8469,1993.389437,0.00046264,5.38328675,125267.8469,125267.84689999,2.177844311,2
"101",101,19337.6179,48627,114057,1.292274575,3.03109304,131995.0066,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2038.407947,131995.0066,2038.407947,0.000466572,8.4268462,131995.0066,131995.00659999,1.738818465,1
"102",102,25845.75558,28701,76671,1.259920983,3.36571554,126778.5262,0.00000001,1569.284209,0.00000001,9788.113396,0.00000001,0.00000001,0.00000001,2326.241542,128347.8104,1988.562852,0.000227379,6.28156175,138135.9238,128347.81039999,2.105794557,1
"103",103,32700.27289,29385,57357,0.213389395,0.416517799,94446.37835,0.00000001,39753.45254,0.00000001,516857.5413,0.00000001,0.00000001,0.00000001,4980.430139,134199.8309,1984.405619,0.00010889,10.248524,651057.3721,134199.83089999,0.203128404,2
"104",104,30765.94127,65124,134316,0.367086039,0.757102273,148077.0756,0.00000001,26741.37627,6076.110106,574723.066,44672.1276,0.00000001,0.00000001,6056.673625,219490.5795,3093.250421,0.000866516,3.031115667,800289.7556,174818.4519,0.390016234,2
"105",105,28998.13252,27621,51336,0.219198629,0.407399471,98088.09546,0.00000001,9089.018723,22593.29229,255001.6749,80140.10261,301.014276,0.00000001,4872.915615,187618.2311,2256.830354,0.0001533,6.041015,465213.1982,107478.12849,0.188200842,1
"106",106,23648.04148,22707,42948,0.383979302,0.726258117,91412.63347,0.00000001,6337.142205,25060.20867,54685.13806,0.00000001,659.733756,0.00000001,2423.772279,98409.50943,1964.339321,0.000199385,6.065671,178154.8562,98409.50942999,0.342278815,1
"107",107,27060.73567,35361,69039,0.436060277,0.851366349,88658.08419,0.00000001,12345.73995,24750.95146,184806.4826,20797.26407,1825.506217,0.00000001,4262.159688,123626.5944,1989.361851,0.00044421,4.435881333,333184.0284,102829.33033,0.415306072,1
"108",108,25042.16562,39663,66762,0.294375668,0.495502316,95632.63938,0.00000001,45.035412,32616.72282,377412.8663,671.640094,7727.339876,0.00000001,3492.216922,104076.6548,2410.444449,0.000405953,5.844819667,514106.2439,103405.014706,0.201126648,1
"109",109,26662.15973,33849,78588,0.280764764,0.651857996,119520.6356,0.00000001,4623.503457,9832.080192,435692.1964,8271.502705,0.00000001,0.00000001,3996.914044,132415.6418,2563.501553,0.00035521,6.09443,577939.9183,124144.139095,0.371093232,1
"110",110,25024.80776,56241,97164,0.475832311,0.822065231,141736.6982,0.00000001,0.00000001,16978.87967,527324.2254,0.00000001,0.00000001,0.00000001,3359.166831,141736.6982,3359.166831,0.000681092,5.2858114,686039.8032,141736.69819999,0.34623292,1
"111",111,13163.51211,34326,109593,0.814841191,2.601552485,117463.2453,0.00000001,0.00000001,1942.506412,94693.45927,0.00000001,0.00000001,0.00000001,2074.159705,117463.2453,2074.159705,0.000453292,6.5905565,214099.211,117463.24529999,1.786711294,1
"112",112,15749.38442,43902,118080,1.407656791,3.786071566,120495.2419,0.00000001,0.00000001,815.413526,69015.42838,0.00000001,0.00000001,0.00000001,1983.66484,120495.2419,1983.66484,0.000534055,6.214316,190326.0838,120495.24189999,2.378414775,1
"113",113,23175.89716,39906,91584,0.878483688,2.01611412,129342.38,0.00000001,411.647826,0.00000001,33414.69914,0.00000001,0.00000001,0.00000001,2047.858757,129754.0278,1996.924511,0.00036548,7.390939,163168.7269,129754.02779999,1.137630432,1
"114",114,43113.15833,33228,116496,0.553550902,1.940726673,131559.7875,0.00000001,1974.703964,0.00000001,12839.90059,0.00000001,0.00000001,0.00000001,2446.586425,133534.4915,2007.374681,0.000544212,6.6907885,146374.3921,133534.49149999,1.387175771,3
"115",115,20180.48061,7659,32796,0.133485543,0.571587919,107266.1889,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2001.580328,107266.1889,2001.580328,0.0001558,7.1613555,107266.1889,107266.18889999,0.438102376,1
"116",116,38999.84962,28764,87264,0.51391817,1.559120958,115548.029,0.00000001,0.00000001,1856.06728,0.00000001,0.00000001,0.00000001,0.00000001,2179.771626,115548.029,2179.771626,0.000315684,7.2667885,117404.0963,115548.02899999,1.045202788,3
"117",117,27363.21699,15516,40671,0.315840899,0.827891544,105535.5032,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,2002.176842,105535.5032,2002.176842,0.000188269,10.50974033,105535.5032,105535.50319999,0.512050645,1
"118",118,54927.74265,55836,94320,0.887977099,1.5,109064.1452,12575.51471,0.00000001,2257.895022,97917.58306,602.320479,0.00000001,0.00000001,3184.978129,122241.9803,2008.324736,0.00054243,7.016332167,222417.4584,121639.659821,0.612022901,3
"119",119,58086.19612,50121,100089,0.349029603,0.696993754,112705.372,0.00000001,9429.667744,10248.2367,120745.3616,3433.791467,0.00000001,0.00000001,4230.04792,125568.8312,3210.214929,0.000636479,5.880186,256562.4295,122135.039733,0.347964151,3
"120",120,26383.30754,37683,100134,0.625984252,1.663410745,110630.3299,0.00000001,3423.373992,3114.08378,253592.7631,1623.615625,0.00000001,0.00000001,2799.189808,115677.3195,2014.158013,0.000662868,5.67236425,372384.1664,114053.703875,1.037426493,1
"121",121,67449.18041,62037,127602,0.814711213,1.675754472,104274.7944,21033.08693,9051.023213,35545.39841,133217.598,573.574441,0.00000001,0.00000001,5319.352221,134932.479,1928.463406,0.00069109,4.38459175,303695.4754,134358.904559,0.861043259,3
"122",122,29933.92117,23760,49950,0.439544176,0.924041734,87607.11101,0.00000001,0.00000001,36806.40001,86126.58033,1815.458097,0.00000001,0.00000001,2842.640935,89422.5691,2449.016989,0.000517705,5.2705152,212355.5494,87607.111003,0.484497558,2
"123",123,30716.78894,48744,90495,1.044685913,1.939497203,90439.60385,1220.366481,0.00000001,19403.24092,32042.606,2373.444595,0.00000001,0.00000001,2735.653161,94033.41492,2089.787459,0.000779402,4.46276,145479.2618,91659.970325,0.89481129,2
"124",124,33744.78423,55485,111321,0.898688047,1.803061224,108750.7833,672.89668,2147.150284,1807.586849,85171.90616,4805.322212,0.00000001,0.00000001,2865.913478,116376.1525,2056.024994,0.000712891,5.430218,203355.6455,111570.830288,0.904373177,2
"125",125,28098.15763,44415,110349,0.670415094,1.665645283,101869.0411,0.00000001,1522.272574,11662.63216,83812.04002,0.00000001,0.00000001,0.00000001,3565.611491,103391.3137,3296.148512,0.000806183,5.4401522,198865.9858,103391.31369999,0.995230189,1
"126",126,20299.04214,20691,82512,0.321238938,1.281043316,94867.31856,0.00000001,0.00000001,801.371125,0.00000001,0.00000001,0.00000001,0.00000001,2030.781578,94867.31856,2030.781578,0.000588937,4.578115,95668.68968,94867.31855999,0.959804378,1
"127",127,31316.02636,29052,113742,0.650107411,2.545247046,111019.9086,4917.115154,1465.719705,28681.50128,5996.154269,0.00000001,0.00000001,0.00000001,3227.06636,117402.7435,2388.723844,0.000231914,5.267871,152080.399,117402.74349999,1.895139635,2
"128",128,19959.04342,24705,84429,0.63772942,2.179431581,102474.055,1817.80022,0.00000001,13347.26899,34753.99115,0.00000001,0.00000001,0.00000001,2669.434222,104291.8552,2118.756836,0.000297158,5.004495,152393.1153,104291.85519999,1.541702161,1
"129",129,17413.75384,27333,67455,0.566886511,1.399016924,89049.17467,0.00000001,1817.856201,16339.19814,122315.7179,0.00000001,394.425077,0.00000001,2813.265727,91261.45595,2371.16976,0.000408391,4.290041333,229916.372,91261.45594999,0.832130413,1
"130",130,16415.98295,64539,100431,1.350894819,2.102166405,107062.4061,0.00000001,12307.47382,18690.83053,100262.2284,2548.546005,0.00000001,0.00000001,4071.852275,121918.426,2356.565814,0.000932803,5.3911985,240871.4848,119369.879995,0.751271586,1
"131",131,26559.28127,55386,110682,1.094238976,2.186699858,129592.4591,0.00000001,0.00000001,5457.463831,211434.1656,3493.966268,0.00000001,0.00000001,3276.131379,133086.4254,2549.75926,0.000701112,5.224902,349978.0547,129592.459132,1.092460882,1
"132",132,31248.98447,53100,107361,1.078698249,2.180981595,121532.9755,0.00000001,7483.928644,519.1154,29325.34796,0.00000001,0.00000001,0.00000001,2504.978147,129016.9042,1961.345411,0.001117653,5.11689875,158861.3675,129016.90419999,1.102283346,2
"133",133,24247.86915,18531,63801,0.382035212,1.315321816,104101.7874,0.00000001,4241.533297,4429.611715,54203.67066,0.00000001,0.00000001,0.00000001,2979.488467,108343.3207,2195.748659,0.000106842,5.27836,166976.603,108343.32069999,0.933286604,1
"134",134,14885.68222,20718,63558,0.657192704,2.016114195,89804.33871,0.00000001,0.00000001,2088.82255,1065.683957,0.00000001,0.00000001,0.00000001,2032.162616,89804.33871,2032.162616,0.000193724,5.452698667,92958.84522,89804.33870999,1.358921491,1
"135",135,27970.26926,58383,97839,0.523595566,0.877448343,97868.77488,0.00000001,85272.89186,23366.76329,123543.7634,0.00000001,0.00000001,0.00000001,6856.775733,183141.6667,2073.191282,0.000591428,4.43924,330052.1935,183141.66669999,0.353852777,1
"136",136,20537.00056,32643,76626,0.463751438,1.088607595,109291.9666,0.00000001,8202.351653,30264.86036,237409.7517,16513.37993,0.00000001,0.00000001,5907.814406,134007.6982,3142.511948,0.000750458,4.7320375,401682.3103,117494.31827,0.624856157,1
"137",137,31958.64225,40977,67959,0.555658011,0.921540443,88197.87465,9410.37139,6668.447589,43460.47224,94728.56808,1587.633457,0.00000001,0.00000001,3469.14915,105864.3271,1997.584849,0.000732,4.214,244053.3674,104276.693643,0.365882432,2
"138",138,86976.65574,98091,145854,0.775717268,1.153433714,95553.4569,0.00000001,119700.0307,20372.44195,389863.2195,1530.990974,0.00000001,0.00000001,9169.510552,216784.4785,2147.221937,0.000586,4.668526,627020.14,215253.487526,0.377716446,3
"139",139,32789.91023,81819,126450,0.707348491,1.093196161,123906.2494,0.00000001,85229.19688,19903.59669,309619.5405,5742.390871,0.00000001,0.00000001,7506.43403,214877.8371,1929.54154,0.001236818,3.7747515,544400.9743,209135.446229,0.38584767,2
"140",140,34250.16128,48789,101439,0.634942738,1.320132743,125337.2023,0.00000001,12814.47212,14259.63062,44094.43508,0.00000001,0.00000001,0.00000001,3567.056879,138151.6744,1969.564735,0.000277091,4.810272,196505.7401,138151.67439999,0.685190005,2
"141",141,32184.34147,47277,92934,0.536421812,1.054462523,92521.65475,17473.31382,54585.33607,55483.88714,129219.5501,448.438183,0.00000001,0.00000001,5623.597331,165028.7428,1723.294626,0.000650104,4.13462,349732.18,164580.304617,0.518040711,2
"142",142,26067.83462,49365,91863,0.469427539,0.873554583,107643.8593,0.00000001,75316.90528,8360.292173,412278.7398,1481.191088,0.00000001,0.00000001,5513.793945,184441.9557,1770.288954,0.000415855,4.154195,605080.9876,182960.764612,0.404127044,1
"143",143,60648.46975,132813,177723,1.094002521,1.463933576,152656.6974,51901.85815,17749.84274,17917.15395,309977.2897,0.00000001,0.00000001,0.00000001,7147.742318,222308.3983,2755.407598,0.000826562,3.467627,550202.842,222308.39829999,0.369931055,3
"144",144,43636.53861,72441,121131,0.680273834,1.137508452,130308.6583,15808.53986,5300.27921,5499.603826,130368.9059,0.00000001,0.00000001,0.00000001,3756.959964,151417.4774,1942.322474,0.00042176,4.164661,287285.9872,151417.47739999,0.457234618,3
"145",145,28339.28068,38304,83097,0.628243398,1.362916188,102781.8425,10032.733,7.888561,7811.032236,30152.00018,0.00000001,0.00000001,0.00000001,2583.086543,112822.464,2012.19385,0.000426318,4.66274,150785.4964,112822.46399999,0.73467279,1
"146",146,22318.24416,33354,71388,0.706772334,1.512714019,86932.59,8526.46519,0.00000001,23833.76874,75292.27729,0.00000001,0.00000001,0.00000001,3001.502271,95459.05519,2083.56734,0.000453606,4.401674,194585.1012,95459.05518999,0.805941685,1
"147",147,35496.99907,64962,110331,0.657942979,1.117445688,117997.4885,10927.81943,17108.59348,38126.84164,360738.43,986.225168,0.00000001,0.00000001,5612.06721,147020.1266,2701.403526,0.000803589,3.754955333,545885.3983,146033.901432,0.459502709,2
"148",148,41695.52679,51552,108585,0.738821371,1.556194107,108878.7671,14796.87845,2206.054354,40465.13816,133081.1331,1548.225009,5122.319555,0.00000001,5885.462992,132552.2444,2534.945209,0.000919657,2.656526,306098.5157,131004.019391,0.817372736,3
"149",149,33057.0039,35532,80802,0.355761144,0.809023189,113370.8802,299.806848,27668.64906,14230.81549,312989.1676,2783.944881,0.00000001,0.00000001,5009.069017,144123.281,2994.558853,0.000480441,3.8945822,471343.2641,141339.336119,0.453262045,2
"150",150,38319.88368,44982,103635,0.349477904,0.805169681,114538.9118,13642.54928,10378.92934,8239.240811,362031.149,997.039555,0.00000001,0.00000001,5132.326918,139557.43,2341.638043,0.000559758,5.187722,509827.8198,138560.390445,0.455691777,3
"151",151,40176.32211,55773,98991,0.764432566,1.356784539,120823.5287,0.00000001,9639.488153,15096.80925,214872.2781,10.644461,0.00000001,0.00000001,4371.809601,130473.6613,3118.927735,0.000633384,5.1159325,360442.7487,130463.016839,0.592351973,3
"152",152,16865.83426,33858,81261,0.512914514,1.231022102,92544.00317,0.00000001,19708.42834,11351.4966,159381.058,625.377588,1651.337245,0.00000001,4395.768016,114529.1463,2219.972811,0.000641256,5.0614035,285261.701,113903.768712,0.718107588,1
"153",153,15658.11997,64890,108414,0.873198498,1.458883372,117909.4887,65.063796,3381.516458,2751.29006,227524.3392,0.00000001,0.00000001,0.00000001,2897.69869,121356.0689,2379.596111,0.000619781,4.5391064,351631.6982,121356.06889999,0.585684874,1
"154",154,36150.1821,46188,84645,0.691861771,1.267918932,93185.78742,25394.18903,2524.809834,8415.105906,222519.643,0.00000001,0.00000001,0.00000001,4279.247232,121104.7863,2179.735491,0.000979669,4.093778,352039.5352,121104.78629999,0.576057161,2
"155",155,19273.69226,43200,85707,0.686498856,1.361985126,99133.19651,1997.810558,0.00000001,16516.01567,89484.9394,0.00000001,0.00000001,0.00000001,3184.780354,101131.0071,2964.540569,0.000764692,5.296831,207131.9621,101131.00709999,0.67548627,1
"156",156,37105.31117,45144,93645,0.585798817,1.215158829,82872.25962,24114.65346,11781.85524,69729.66104,121195.2892,378.242163,0.00000001,0.00000001,5725.224764,119147.0105,2669.988106,0.001376544,5.727175,310071.9608,118768.768337,0.629360012,2
"157",157,38433.1009,33786,92313,0.660915493,1.805809859,87940.22271,987.566909,34805.26443,33391.32693,154526.8853,6311.573244,0.00000001,0.00000001,5090.975901,130044.6273,2211.738697,0.000850567,2.53344125,317962.8396,123733.054056,1.144894366,3
"158",158,30179.98061,43092,90423,0.447128405,0.938241245,97991.00722,0.00000001,26601.22313,44154.49106,383803.7679,22662.60034,0.00000001,0.00000001,5918.774739,147254.8307,2358.252731,0.000890992,4.6844175,575213.0896,124592.23036,0.49111284,2
"159",159,34998.5776,50562,80559,0.410372535,0.653834916,101279.4136,0.00000001,22116.18513,17854.82333,238130.1425,5530.317118,0.00000001,0.00000001,3358.326637,128925.9159,1955.155582,0.0004739,4.503315833,384910.8817,123395.598782,0.243462381,2
"160",160,28555.27448,40806,102060,0.505901314,1.265311183,103455.9807,0.00000001,14421.48668,30540.12231,274828.1803,16511.48809,0.00000001,0.00000001,4726.469482,134388.9555,2033.640349,0.000720913,4.33394,439757.2581,117877.46741,0.759409869,1
"161",161,20488.58082,60750,124623,1.383196721,2.8375,112822.732,10528.12575,5544.805545,14343.15011,28736.61227,0.00000001,0.00000001,0.00000001,3708.545139,128895.6633,2190.264943,0.000940849,3.850175833,171975.4257,128895.66329999,1.454303279,1
"162",162,45215.39684,73440,149499,0.770279625,1.568028781,92073.54127,47837.06818,14224.6625,47965.44246,336302.9554,1347.969269,452.057207,0.00000001,7076.049929,155935.2984,2156.46573,0.00135641,3.419583125,540203.6963,154587.329131,0.797749156,3
"163",163,30028.2564,43398,125784,0.509437949,1.476545992,125974.1944,30857.9484,5761.761407,59657.58542,182440.6489,4240.85345,0.00000001,0.00000001,5200.154459,166834.7577,2531.303943,0.001037151,3.58049,408932.992,162593.90425,0.967108043,2
"164",164,37474.82341,62982,106029,0.567267421,0.954983923,91373.37843,39959.88611,10960.14372,96824.99714,258770.2134,2288.380452,2925.855866,0.00000001,8148.744925,147507.6446,2036.754399,0.000739612,4.331407111,503102.8551,145219.264148,0.387716502,3
"165",165,22648.77103,29106,69534,0.401583929,0.959380778,84157.47429,1302.671399,12480.532,83962.79354,96176.80736,4031.826923,894.965074,0.00000001,4116.527083,102867.4697,1979.91061,0.000978971,2.858796667,283007.0706,98835.642777,0.557796849,1
"166",166,32345.90837,37827,88434,0.358600749,0.838356164,95889.84455,11514.73202,24470.24415,25420.7547,429889.6705,5320.591677,562.73372,0.00000001,6755.069029,137758.1461,2418.096441,0.001246102,3.46880725,593068.5713,132437.554423,0.479755415,2
"167",167,29799.84562,65592,131535,0.653827751,1.311154306,106765.6976,30888.67827,877.754543,48310.65148,393130.677,4791.152053,0.00000001,0.00000001,6611.290813,143323.2825,2479.733586,0.001596291,2.798053875,584764.6109,138532.130447,0.657326555,2
"168",168,53748.04236,86598,167337,1.197361872,2.31371329,136112.4398,35154.97407,8110.412251,38046.88881,179954.1502,0.00000001,576.435812,0.00000001,6962.191777,179954.2619,2283.40395,0.00117548,2.7838272,397955.3009,179954.26189999,1.116351418,3
"169",169,32935.74621,63459,121590,0.742279979,1.422238338,135156.452,14820.2697,5783.031632,6690.628676,252320.5127,9659.848839,0.00000001,0.00000001,5437.562676,165419.6022,2422.152975,0.000561079,4.1196935,424430.7435,155759.753361,0.679958359,2
"170",170,29441.64098,52542,110682,0.666692044,1.404415683,127348.4801,0.00000001,3885.250258,26670.86689,248147.4998,1698.905214,0.00000001,0.00000001,4153.032377,132932.6356,3553.892923,0.001104421,3.637633,407751.0023,131233.730386,0.737723639,2
"171",171,24674.92725,54360,120051,0.843457618,1.862728669,114210.8432,12324.62809,0.00000001,32641.71002,155643.5471,0.00000001,0.00000001,0.00000001,4197.998521,126535.4713,2435.144435,0.001205403,3.7541688,314820.7284,126535.47129999,1.019271051,1
"172",172,19798.68767,35118,106695,0.574574607,1.745664267,110230.2763,0.00000001,5159.518821,0.00000001,53547.78973,0.00000001,0.00000001,0.00000001,2591.976948,115389.7951,1971.328731,0.000599164,4.410098,168937.5848,115389.79509999,1.17108966,1
"173",173,17650.16415,21762,58185,0.403912543,1.079939864,79407.03236,4699.999455,941.993851,7235.775383,44477.67073,0.00000001,0.00000001,0.00000001,2548.491488,85049.02566,2038.479373,0.000665466,3.904248,136762.4718,85049.02565999,0.676027321,1
"174",174,33666.17035,61902,116451,0.764146751,1.437524689,76664.26949,22449.25578,40356.87985,62904.8609,155711.518,0.00000001,922.310204,0.00000001,6934.890092,140392.7153,1906.376677,0.001137215,3.897888,359009.0943,140392.71529999,0.673377938,2
"175",175,27770.40843,82188,137925,0.676996071,1.136110905,100714.4752,0.00000001,63498.33111,58268.53993,607837.3778,15090.41253,0.00000001,0.00000001,10324.49265,179303.2188,2592.999052,0.001885113,1.9025622,845409.1366,164212.80627,0.459114834,1
"176",176,56402.71333,107964,172665,0.935717319,1.49647689,152741.5884,0.00000001,27643.11719,78317.85099,271921.2294,8888.081276,0.00000001,0.00000001,7171.099802,189272.7869,3444.346608,0.001340607,2.8437105,539511.8672,180384.705624,0.560759571,3
"177",177,79222.42618,80361,163521,0.536154626,1.090983694,92134.67622,77214.68794,30904.42753,79729.40932,356215.7699,13979.90981,0.00000001,0.00000001,8966.660449,214233.7015,2203.457535,0.000491882,4.483541067,650178.8807,200253.79169,0.554829068,3
"178",178,74823.14112,119871,197145,0.712127513,1.171195523,124640.6808,52745.07819,28231.28655,38612.0957,646141.6755,3514.733278,0.00000001,0.00000001,9751.58646,209131.7788,2072.198577,0.002131462,3.66031,893885.55,205617.045522,0.45906801,3
